,Quantity,Avg_Price,Delivery_Charges,Discount_pct,GST,Total_Spend,Tenure_Months,Invoice_amount,Product_Category_Android,Product_Category_Apparel,Product_Category_Bags,Product_Category_Bottles,Product_Category_Drinkware,Product_Category_Gift Cards,Product_Category_Headgear,Product_Category_Housewares,Product_Category_Lifestyle,Product_Category_Nest,Product_Category_Nest-Canada,Product_Category_Nest-USA,Product_Category_Notebooks & Journals,Product_Category_Office,Product_Category_Waze,Coupon_Status_Not Used,Coupon_Status_Used,Gender_M,Location_Chicago,Location_New Jersey,Location_New York,Location_Washington DC
PC1,0.03079745863133074,0.8833511612304937,0.07494457837537703,0.05065769597897871,0.8421365341059209,0.13289635815479156,0.00254813014934579,0.7459193831383217,0.0033105808447291803,0.6356029701972522,0.09479636433759864,0.016648359433436375,0.1819838514343386,0.06439693902973839,0.041148313435837636,0.012959134530723936,0.2035206260836517,0.40684634880402876,0.1077781205801276,0.7512654788590737,0.055188539158439937,0.04755503170884301,0.08442667947054712,0.02359259662877843,0.054648774374461306,0.010373522112881542,0.002467396475936835,0.0030911582150168196,0.008490561311383527,0.015229179607157058
PC2,0.022723288526260377,0.04388518919117064,0.03254016535425835,0.9376710494829309,0.06542935912011098,0.015085206647519861,0.009316298846557346,0.07897317426709274,0.012133375694372615,0.038308780298765936,0.0199106779992836,0.004616471200000786,0.032950671366363746,0.005097511085412313,0.013606480673044066,0.0059448063225583546,0.00287726280867193,0.03502555752709789,0.007576511164563498,0.03413663997015799,0.008170912769674873,0.023862803871378527,0.006554227124915465,0.5138829144653821,0.9452818391029307,0.004010533293697689,0.0013885998067366383,0.012538928593713255,0.01629376042921558,0.005577911423062622
PC3,0.532661569670028,0.3495568957161761,0.47438613508145683,0.004508641880581745,0.3450598440970732,0.050775646033418026,0.00040024534189724237,0.040371237405189754,0.019060250089335366,0.4746844183024424,0.040243022614108837,0.1258397529691917,0.1227122534596814,0.01835613030538256,0.16595888099048894,0.07150962342790629,0.10368543404629953,0.03241326795924283,0.026910580449569045,0.28626560350899705,0.26983836397471267,0.702731170482643,0.00777231060997434,0.0076326681079167315,0.0020171678812736767,0.015123108731800698,0.04999310224625765,0.034975356628056745,0.019183458685636,0.033533487839435355
PC4,0.18000826737868023,0.055860495330572454,0.19541749903943245,0.03305744790304851,0.20167802506620544,0.05762083931693,0.10464165528849026,0.20058924285255864,0.012911750659722148,0.03282612807009154,0.1618484558193177,0.09185622083238781,0.20003034919388785,0.003078302771354914,0.18301348809946466,0.01642797985991249,0.10138647461394565,0.03649191829110375,0.043732502550938135,0.047961442664925455,0.07390262438229213,0.20546409992044168,0.0046217623435468045,0.0066630798889052495,0.028188253868292202,0.0709928680041446,0.7570489436586,0.14545005784215861,0.6777311605604841,0.0712133801282727
PC5,0.41303544447857676,0.07011225353791177,0.39890321564023906,0.033122761664570566,0.3324475361360028,0.05147693506084023,0.0673575978767475,0.4066906066740204,0.06558610915478723,0.03449076026907636,0.2182954780637941,0.1463518684063516,0.3034987284164756,0.14117571966497136,0.3058278969244875,0.003581299149508237,0.16493784139755158,0.1236266650975726,0.04949438477654957,0.11740406046605509,0.0690233797483858,0.3020936460589331,0.027595841458233183,0.045487417067357365,0.04361379558397657,0.004599642939914822,0.42263981685781954,0.10657851680016649,0.324021746460354,0.08410626909853706
PC6,0.15480435792912597,0.06093137772602398,0.15795013909554256,0.01660201423367793,0.017855248840230695,0.3721536388394276,0.16747955639755577,0.11097623640225202,0.03809750305320183,0.34740191669887655,0.06590122048054038,0.027190586320697138,0.07535759469594269,0.002720689193473156,0.0885405363642065,0.01977067061004657,0.2296676087555015,0.6636572434083885,0.09932031495617114,0.4411656702373584,0.024326186031766825,0.002159728255342585,0.129160541099102,0.0007447250934237979,0.0025569522397909552,0.011947739188226014,0.1255251377439028,0.21760126302297028,0.14246793457873472,0.10674768318160398
PC7,0.004768621753742922,0.0320966369842099,0.047329846806566246,0.0027473201544836187,0.020066846490121002,0.17613045280861253,0.2434538917418512,0.03595136134565361,0.01860230215255443,0.04367220113157677,0.0953251159032991,0.021997370657282952,0.05536884666600774,0.11844762054048248,0.008176466209438292,0.01177986023568635,0.03707141606780892,0.1793503061298871,0.03864864404742366,0.1262022023720442,0.03003205014062769,0.09556002435618265,0.03437673038611467,0.0063075494869256786,0.003709880995624376,0.43805934700379745,0.22975311709942217,0.3328102676608171,0.406993771896379,0.6726292358591895
PC8,0.04281047498573476,0.007891531016576416,0.12048597606632767,0.008120381465944645,0.017627535176637878,0.10009716625115457,0.03544954654176683,0.0702583959306262,0.026578088835876236,0.215848580293047,0.04637702487077709,0.05644034479916382,0.18939268014025826,0.11923170684287455,0.05020831393682436,0.06715334453928798,0.18537242482753905,0.005971630377301213,0.06666894586763267,0.02460573676241312,0.23078230598596997,0.014940991038097196,0.06541379922675249,0.019220851280451437,0.004967066979817564,0.38562018797634445,0.11188289168966449,0.7591887448124843,0.2555235895464044,0.29816281798823835
PC9,0.18821659107969008,0.008003963501298771,0.14240690950911977,0.0005783014661545953,0.019303776103236695,0.24903395800821757,0.167878198218097,0.14443843957037783,0.03735135363864866,0.3927009410143597,0.0995765444631693,0.01041773940408725,0.3688032946787994,0.013354318049751592,0.15257890635209118,0.006850183880866165,0.46989903162295665,0.3582538554850403,0.0013424145279749922,0.18289794363875064,0.13078563534751275,0.16199422124858895,0.23079376137123242,0.04072348829197864,0.009800048709344707,0.1838986547807509,0.06240931806440006,0.2647691518035766,0.11510475637610318,0.17295597637018728
PC10,0.028919522800950656,0.008838171273352841,0.12656377032175034,0.007923730883929331,0.047765132193863885,0.23343050671620233,0.2546992138086534,0.02836501242313311,0.029148448492933476,0.03618181257885452,0.10690807148293766,0.1968709024616301,0.3432033526588994,0.12133158626007258,0.19821249767639101,0.03667816894551519,0.4383159900997362,0.11049475484559379,0.11498818493866302,0.12507185263339585,0.51295942553317,0.4103412262560468,0.029349736277277896,0.031589986260480325,0.0007914311065335881,0.06232494535505865,0.0016882233155119236,0.15899642765364366,0.0901283985664634,0.010059278317606694
PC11,0.07892119661875995,0.026484018795023358,0.04874922201362861,0.009763601391326097,0.05144935749086615,0.11294108095872185,0.004654481279053091,0.00496832466379723,0.051560439107854454,0.00562383512616816,0.14814267068026407,0.17615988447383055,0.6531463464907773,0.050298480769194895,0.30578815758473965,0.01076136701732743,0.4915843961364789,0.04881392398589212,0.0007950722842986768,0.023395274236156175,0.34601274962696893,0.2962804780026933,0.0049911309820818515,0.0026413683658815016,0.01134351082697782,0.058328008365835446,0.014860114088347564,0.06882421455101213,0.029793227763831403,0.009140365675047717
PC12,0.041059184226212714,0.01175970593123422,0.05531099969347273,0.001199080686239198,0.0058527184880693235,0.10576519758823227,0.049095484182081685,0.015198820486413737,0.0552245916906365,0.0898456691759915,0.8722308026386542,0.024712255351785405,0.14880210366936103,0.009214554929206229,0.15047426046614792,0.007528389331170435,0.3768807378344793,0.02734081727529249,0.07802737124729324,0.08927906942593564,0.08492002034009959,0.00802552699059604,0.19037670688297748,0.014767121329267665,0.0001615004568171014,0.053389425820221166,0.027273388726786613,0.04278791346710681,0.003445664462736698,0.028119437187939446
PC13,0.065985027841475,0.03929122121007615,0.004612484204976655,0.001504038045846689,0.009611090880073786,0.13323008135654846,0.38751003093300834,0.012952611785545375,0.04806662032107224,0.05100876231686281,0.14537762073475222,0.05186571207798602,0.06658761938580215,0.32726622561265506,0.42431460348208744,0.08021658704205517,0.1143319920130369,0.07161631897971313,0.3621576890578557,0.09957587296584323,0.0029626528911739923,0.12186572444421004,0.5724913162691397,0.008745940763135304,0.0054372268190623395,0.017452401981057155,0.006347774578746528,0.0013488767959617973,0.038821488521345836,0.12781911863681478
PC14,0.0047875191830457995,0.028404295421492767,0.021377081484657938,0.004808654220599684,0.0005555683369787292,0.1352784031253831,0.013252771206240962,0.015352063447161685,0.009365274150818073,0.0038421563005785115,0.04933012503103404,0.0987422539091432,0.07472175971013469,0.12934598791623847,0.30665837080173225,0.0701037495803744,0.06265586260063881,0.09803780143789938,0.7583605005456837,0.09220335839365665,0.32038075258186516,0.03894131458469995,0.38606024705826064,0.027562532401562707,0.0006787033361873775,0.04954833339549033,0.005638326793786934,0.032312294970667274,0.0017273267458400784,0.07602104188603287
PC15,0.05552669559347037,1.8905458343608516e-05,0.03459710040544944,0.0027632925392515393,0.004973685004939635,0.00258428031401655,0.16799871103694408,0.00582291321839509,0.2393116364153636,0.011126149566028509,0.06186272331736005,0.5870740821279103,0.04392298912250992,0.24071285788963298,0.1202680954454424,0.5299518867934924,0.0185954799698823,0.045212016851086306,0.2127561183478071,0.004362292173107584,0.2854734747755417,0.05042567449317131,0.22217653561460127,0.0020892212996956403,0.005290602248756155,0.0383197616488464,0.010556972836107776,0.08468657122735058,0.010785002698885427,0.15397300309741274
PC16,0.08894765214128944,0.005433863943883962,0.03249874447385642,0.007686487546907633,0.00705653872350873,0.011265766975578094,0.04285940892151451,0.021536372881196808,0.23725902832719498,0.01439986260719611,0.08313681965608155,0.5931888011890845,0.04796592629387378,0.14378413676394375,0.26576028112060107,0.6236249454008903,0.032985434170115735,0.008360834607906806,0.10480972528724075,0.004550172608871802,0.044771571240619666,0.05163772230479822,0.2712300640422966,0.02348182601864907,0.007688662734978498,0.03529186541293834,0.011283469440003524,0.05708249482035911,0.023564027074042013,0.017473955197364884
PC17,0.031971364493298425,0.0016156402149878504,0.013832224137780423,0.01438959796390251,0.002626316315572425,0.015983265923300207,0.18081530037787996,0.007303708319263411,0.5433168306119306,0.001801860519477118,0.11824025866419216,0.2189830238602991,0.07198146643512235,0.4275303620934768,0.13471473818923554,0.493408397483194,0.015207748306747764,0.0025749136607418547,0.24563840059680644,0.0029864840326894976,0.011698123267422082,0.044643737500069385,0.23780366577899548,0.01171661990030783,0.005634246639010985,0.0010207921481742836,0.011555163189932475,0.06030231837357483,0.039021173834860964,0.19459871832477985
