,overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
0,1.0,0.5214949356484655,0.3180450841520067,0.16045998019952784,0.06631254283755997,0.16078364176376514,0.4544779529358008,0.31842586246287413,0.06631254283755997,0.1514736120630569,0.35854085751275605,0.31865432944939454,0.1050186581372325,0.3973802452212322,0.13881273322671542,0.29003883938770847,0.06320919960399056,0.07792628131901606,0.03263270124133729,0.293199299367908,0.3387975020942807,0.10526616403929633,0.06602695910440941,0.11472850506435153,0.002970070824765821,0.07901149950498819,0.3076498362653263,0.06713121620592491,0.11453811590891783,0.06319016068844718,0.10166780900159927,0.2458495164115452,0.030919198842433934,0.06905414667580535
Quantity,-3.104691913846399e-15,-0.05620675274310378,-0.1384370769544337,0.4570657967383702,0.21115964219954622,0.44225137640967044,-0.09175069249949284,-0.13632891640684092,0.21115964219954622,0.4591310885851501,-0.08710468933368652,-0.13628156130387792,-0.08466569497620877,-0.1069230728464635,0.12159910783035757,-0.1431864720698162,0.11043440365061426,-0.0876844972653659,2.05290106415381,-0.13142927542976096,-0.08723934610580504,-0.08624749781820558,0.15223533606785677,0.27551173560887054,13.95675138147149,-0.07521485753335998,-0.10626856240173199,-0.13771992090663776,0.18516429885942057,0.11016129951163935,-0.10548599811897152,-0.13770069223907422,2.141166325141574,-0.11376053963108936
Avg_Price,-3.557513991969573e-15,-0.5671505088420955,1.3078371980682815,-0.7490034178969189,-0.6699086210635464,-0.7490509942328542,-0.5524573091794559,1.306232334881046,-0.6699086210635464,-0.7572000280565154,-0.551908471183375,1.303961375447074,-0.5571584592363673,-0.5491821910930033,-0.7462285617577203,1.3087117395681325,-0.6698996564892475,0.07339384458293623,-0.6475878941917329,1.2899882423921045,-0.556863490958149,-0.557490241168723,-0.6695200793130828,-0.7809415056130187,-0.7705314031692557,0.06601987444854444,-0.5506652443604728,1.2737062278886968,-0.7837506183626013,-0.6699453502803975,-0.5591162244633863,1.13818678607048,-0.6429448369383318,0.18696469452153833
Delivery_Charges,-2.0299862790061207e-14,0.03887585321883932,-0.2270630001598844,0.32371131017470445,0.3046973930164373,0.32584989805697556,-0.0019452039975066328,-0.2252095332940343,0.3046973930164373,0.33817108194058143,0.005776241214354873,-0.22392977431924246,-0.020416187375417918,-0.15318843498703472,-0.04253469927024231,-0.23715609809112972,0.07381200480759757,-0.1497751350577358,4.368891060431223,-0.2114896635072719,0.006620601349427925,-0.007271737549203247,0.29698627938523664,0.3639080462551579,1.9558834842887136,-0.0840104754896703,-0.1547453375013015,-0.23233609613316583,0.003663964864918292,0.07307326931496014,-0.12765333694726572,-0.22327302728970436,4.439492096971029,-0.16260472970102577
GST,1.7143438108867083e-15,0.9070588794318474,-0.9606519563564551,-1.0438489363514192,0.9280891712509972,-1.0432098823457014,0.9050172847212775,-0.958223900187007,0.9280891712509972,-0.9989569506897664,0.9029423121102256,-0.9626163471642908,0.6929418232520634,0.9211738191570866,-1.0494207151738753,-0.9604057316690457,0.9280891712509955,-0.03587571992366276,0.07058965591316056,-0.9693136622102196,0.7386297801320402,0.6854895544427091,0.9280891712509971,-0.8337155879899648,-0.39967021621773763,-0.03345851683389484,0.901400178727952,-0.9600586425329126,-0.8161673714448388,0.9280891712509955,0.7179372886373512,-1.0484838913367893,0.07583081741533164,0.0637756693596142
Product_Category_Apparel,8.233300146630279e-15,0.6659946801066274,-0.725912695325527,-0.7256631119343281,-0.7259126953256783,-0.7256636143520494,0.8712443119412621,-0.7259126953255264,-0.7259126953256783,-0.7256483050765097,0.8627619824750603,-0.7259126953255259,0.7620882814904765,0.8966519871910763,-0.7259126953257732,-0.7259126953255828,-0.7259126953256693,0.0994484212284134,-0.21047202686409436,-0.7259126953255759,0.762428286572864,0.7582091891551884,-0.7259126953256775,-0.7259126953257549,-0.6315253763360037,0.0987562963232505,0.8730199871014175,-0.7259126953256805,-0.7259126953257548,-0.7259126953256693,0.785526745612534,-0.7259126953256964,-0.20781199995671634,0.20549150926651474
Product_Category_Drinkware,-9.754591468587993e-16,0.24291683807371364,-0.26649991727836825,-0.26125462666657756,3.7523463804896235,-0.26649991727828637,-0.26649991727839334,-0.2664999172783683,3.7523463804896235,-0.2664999172782762,-0.2664999172783777,-0.26649991727836836,-0.26649991727828787,-0.2664999172783849,-0.26649991727827244,-0.26649991727836014,3.7523463804896027,-0.2664999172783099,0.11568908303451196,-0.26649991727836114,-0.26649991727837335,-0.26649991727828776,3.7523463804896218,-0.26649991727828254,0.11992761135322483,-0.26649991727830874,-0.2664999172783654,-0.26649991727831346,-0.2664999172782826,3.7523463804896027,-0.26649991727829,-0.26649991727834366,0.13934416697904412,-0.2664999172783141
Product_Category_Nest-USA,-1.6569548092726218e-14,-0.6032164313896714,1.293421691467181,-0.6032164313900632,-0.6032164313899576,-0.6032164313900634,-0.6032164313897193,1.2911536638165295,-0.6032164313899576,-0.6032164313900589,-0.6032164313898507,1.2897954490144456,-0.603216431390024,-0.6032164313897899,-0.6032164313900517,1.2960856859245227,-0.6032164313899541,0.06077512499119761,-0.584748551056482,1.2775213222369197,-0.603216431389887,-0.6032164313900242,-0.6032164313899568,-0.6032164313900336,-0.6032164313899718,0.05220005932681527,-0.6032164313899537,1.3012528634034028,-0.6032164313900334,-0.6032164313899541,-0.6032164313900202,1.1174379263680216,-0.5837250847818398,0.14608531668505131
Product_Category_Office,-1.3794825460138132e-14,-0.37623544073595033,-0.3762354407360267,1.9684952532858095,-0.37623544073592136,1.9637752507045951,-0.37623544073603155,-0.37623544073602705,-0.37623544073592136,2.107599437244843,-0.3762354407360586,-0.3762354407360272,-0.37623544073589665,-0.37623544073608306,1.9121703542679251,-0.3762354407359994,-0.37623544073592463,-0.020410889615549637,0.5690584624764016,-0.3762354407360028,-0.376235440736044,-0.37623544073589654,-0.37623544073592163,2.6090697798310143,1.3547835230524654,-0.014331327066663077,-0.37623544073601717,-0.3762354407359205,2.65791015871363,-0.37623544073592463,-0.37623544073589804,-0.3762354407359438,0.529897943336066,-0.3661969110437804
Location_Chicago,1.651575330181785e-14,0.001911856859147333,-0.0042928564960083085,0.002295265369825915,0.02560460944402719,0.001319768789133173,-0.0010275248686614689,-0.0045320332423354134,0.02560460944402719,0.04042411408521919,0.195875811859265,-0.004549771189710059,-0.7294015364186923,0.06428206481501932,0.06886708824751044,0.06475874837755856,0.01838738250118114,-0.7294015364187023,0.05487421741159268,0.06206304047902302,0.31719272366071793,-0.7294015364186922,0.02281372338741611,0.0635596061038444,-0.015808006476282433,-0.7294015364187018,0.30798943110739485,-0.7294015364187086,0.006223226928828968,0.01861268799046103,-0.7294015364186932,0.30298178503884443,0.07635094973294396,-0.7294015364187073
